SITE,DTS,COUNTID,LANE,DIR,SPD,AX,GW_TOT,HEADT,GAPT,LENTH,CS,AWT01,AWT02,AWT03,AWT04,AWT05,AWT06,AWT07,AWT08,AWT09,W1_2,W2_3,W3_4,W4_5,W5_6,W6_7,W7_8,W8_9,TYPE
405,20000110T122848,99733,1,1,64,5,16370,3.5,3.3,1668,7,4300,4490,3210,3530,840,0,0,0,0,148,303,137,871,0,0,0,0,221
405,20000110T122959,99734,1,1,84,2,6260,5.7,5.6,771,4,2970,3290,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,11
405,20000110T123057,99735,1,1,87,2,5390,1.4,1.3,766,4,1810,3580,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,11
405,20000110T123107,99736,1,1,87,4,23800,10.3,9.9,1686,5,5510,9430,4570,4290,0,0,0,0,0,420,549,462,0,0,0,0,0,1111
405,20000110T123334,99737,1,1,85,2,11360,4,3.8,730,4,5080,6280,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,11
405,20000110T123406,99738,1,1,85,4,14930,4.3,4.2,1410,6,4800,4860,2570,2700,0,0,0,0,0,380,647,128,0,0,0,0,0,112
405,20000110T123407,99739,1,1,86,4,16180,1.4,1.3,1474,6,5960,3040,3550,3630,0,0,0,0,0,363,721,135,0,0,0,0,0,112
405,20000110T123526,99740,1,1,87,2,6960,16.4,16.2,771,4,2480,4480,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,11
405,20000110T123538,99741,1,1,84,4,3670,3,2.8,1042,7,920,1260,720,770,0,0,0,0,0,271,496,77,0,0,0,0,0,112
405,20000110T123611,99742,1,1,104,2,3720,2.4,2.2,615,4,1410,2310,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,11
405,20000110T123711,99743,1,1,89,5,13810,6,5.9,1458,6,6230,3080,1300,1350,1850,0,0,0,0,358,594,122,129,0,0,0,0,113
405,20000110T123749,99744,1,1,90,5,33900,1.8,1.7,1832,5,7040,7970,8640,5450,4800,0,0,0,0,457,136,500,484,0,0,0,0,1211
405,20000110T123826,99745,1,1,90,4,23550,7.1,6.9,1372,6,4980,10710,3880,3980,0,0,0,0,0,385,600,132,0,0,0,0,0,112
405,20000110T124122,99746,1,1,87,5,6350,8.4,8.3,1455,6,2490,1660,690,790,720,0,0,0,0,357,583,131,129,0,0,0,0,113
405,20000110T124130,99747,1,1,85,2,6400,1.4,1.3,778,4,4370,2030,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,11
405,20000110T124138,99748,1,1,89,4,14300,7.2,6.8,1819,5,5550,3360,2470,2920,0,0,0,0,0,545,521,498,0,0,0,0,0,1111
405,20000110T124230,99749,1,1,85,4,7270,6.1,6,1801,5,3050,2710,740,770,0,0,0,0,0,521,571,492,0,0,0,0,0,1111
405,20000110T124328,99750,1,1,84,2,8070,7.1,7,737,4,5570,2500,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0,11
405,20000110T124429,99751,1,1,89,2,7670,8.7,8.6,739,4,3520,4150,0,0,0,0,0,0,0,484,0,0,0,0,0,0,0,11
405,20000110T124432,99752,1,1,89,4,13890,3.6,3.2,1331,6,4300,5010,2010,2570,0,0,0,0,0,383,573,120,0,0,0,0,0,112
405,20000110T124512,99753,1,1,91,2,9190,2,1.9,821,4,5400,3790,0,0,0,0,0,0,0,566,0,0,0,0,0,0,0,11
405,20000110T124538,99754,1,1,90,2,9460,5,4.8,808,4,3600,5860,0,0,0,0,0,0,0,553,0,0,0,0,0,0,0,11
405,20000110T124630,99755,1,1,87,2,7180,1.3,1.2,743,4,3710,3470,0,0,0,0,0,0,0,488,0,0,0,0,0,0,0,11
405,20000110T124659,99756,1,1,88,2,8290,7.1,7,816,4,5820,2470,0,0,0,0,0,0,0,561,0,0,0,0,0,0,0,11
405,20000110T124742,99757,1,1,86,4,24250,5.4,5.2,1381,5,5610,8270,5130,5240,0,0,0,0,0,415,574,137,0,0,0,0,0,112
405,20000110T124744,99758,1,1,87,4,14940,1.8,1.2,1375,6,3980,5150,2980,2830,0,0,0,0,0,386,597,137,0,0,0,0,0,112
